"divipola","municipio","poblacion_total","internet_Ferretería y afines","internet_Peluquería y belleza","internet_Otras variedades","internet_Servicios","internet_Papelería y comunicaciones","internet_Ropa","internet_Comida preparada","internet_Salud","internet_Productos bajo inventario","internet_Tienda","internet_Vida nocturna"
5088,"Bello",647245,1,0.842105263157895,0.8,0.75,0.75,0.714285714285714,0.7,0.625,0.454545454545455,0.352941176470588,0
8001,"Barranquilla",1432276,0.818181818181818,0.882352941176471,0.5,0.631578947368421,0.8,0.25,0.55,0.727272727272727,0.684210526315789,0.578947368421053,1
11001,"Bogotá",8836357,0.625,0.5,0.769230769230769,0.4375,0.846153846153846,0.571428571428571,0.739130434782609,0.666666666666667,0.8,0.705882352941177,1
25307,"Girardot",114955,0.5,0.777777777777778,0,0.75,0.916666666666667,0,0.633333333333333,0.714285714285714,NA,0.288461538461538,0.636363636363636
25754,"Soacha",894300,0.5,0.833333333333333,0.75,0.818181818181818,0.6875,0.875,0.541666666666667,0.666666666666667,0.866666666666667,0.25,1
25899,"Zipaquirá",176372,NA,0.75,0.7,0.9,1,0.666666666666667,0.769230769230769,1,0.733333333333333,0.857142857142857,1
41001,"Neiva",434125,0.625,1,0.9375,0.645161290322581,1,1,0.363636363636364,1,0.941176470588235,0.222222222222222,1
66001,"Pereira",540500,0,0.666666666666667,0.6,0.571428571428571,0.666666666666667,0.666666666666667,0.631578947368421,1,1,0.48,0.666666666666667
68001,"Bucaramanga",682778,1,0.9,0.8,0.846153846153846,0.875,0.952380952380952,0.6,1,0.75,0.285714285714286,0.571428571428571
73001,"Ibagué",615050,0.666666666666667,0.8,0.5,0.666666666666667,0.444444444444444,0.111111111111111,0.5,0.857142857142857,0.333333333333333,0.307692307692308,0.8
