"divipola","municipio","Actividad","penetracion_internet","poblacion_total"
5088,"Bello","Ferretería y afines",1,647245
5088,"Bello","Peluquería y belleza",0.842105263157895,647245
5088,"Bello","Otras variedades",0.8,647245
5088,"Bello","Servicios",0.75,647245
5088,"Bello","Papelería y comunicaciones",0.75,647245
5088,"Bello","Ropa",0.714285714285714,647245
5088,"Bello","Comida preparada",0.7,647245
5088,"Bello","Salud",0.625,647245
5088,"Bello","Productos bajo inventario",0.454545454545455,647245
5088,"Bello","Tienda",0.352941176470588,647245
5088,"Bello","Vida nocturna",0,647245
8001,"Barranquilla","Vida nocturna",1,1432276
8001,"Barranquilla","Peluquería y belleza",0.882352941176471,1432276
8001,"Barranquilla","Ferretería y afines",0.818181818181818,1432276
8001,"Barranquilla","Papelería y comunicaciones",0.8,1432276
8001,"Barranquilla","Salud",0.727272727272727,1432276
8001,"Barranquilla","Productos bajo inventario",0.684210526315789,1432276
8001,"Barranquilla","Servicios",0.631578947368421,1432276
8001,"Barranquilla","Tienda",0.578947368421053,1432276
8001,"Barranquilla","Comida preparada",0.55,1432276
8001,"Barranquilla","Otras variedades",0.5,1432276
8001,"Barranquilla","Ropa",0.25,1432276
11001,"Bogotá","Vida nocturna",1,8836357
11001,"Bogotá","Papelería y comunicaciones",0.846153846153846,8836357
11001,"Bogotá","Productos bajo inventario",0.8,8836357
11001,"Bogotá","Otras variedades",0.769230769230769,8836357
11001,"Bogotá","Comida preparada",0.739130434782609,8836357
11001,"Bogotá","Tienda",0.705882352941177,8836357
11001,"Bogotá","Salud",0.666666666666667,8836357
11001,"Bogotá","Ferretería y afines",0.625,8836357
11001,"Bogotá","Ropa",0.571428571428571,8836357
11001,"Bogotá","Peluquería y belleza",0.5,8836357
11001,"Bogotá","Servicios",0.4375,8836357
25307,"Girardot","Papelería y comunicaciones",0.916666666666667,114955
25307,"Girardot","Peluquería y belleza",0.777777777777778,114955
25307,"Girardot","Servicios",0.75,114955
25307,"Girardot","Salud",0.714285714285714,114955
25307,"Girardot","Vida nocturna",0.636363636363636,114955
25307,"Girardot","Comida preparada",0.633333333333333,114955
25307,"Girardot","Ferretería y afines",0.5,114955
25307,"Girardot","Tienda",0.288461538461538,114955
25307,"Girardot","Ropa",0,114955
25307,"Girardot","Otras variedades",0,114955
25754,"Soacha","Vida nocturna",1,894300
25754,"Soacha","Ropa",0.875,894300
25754,"Soacha","Productos bajo inventario",0.866666666666667,894300
25754,"Soacha","Peluquería y belleza",0.833333333333333,894300
25754,"Soacha","Servicios",0.818181818181818,894300
