Codigo_Entidad,Entidad,poblacion_total
01001,Colombia,58196570
05000,Antioquia,7608458
05001,Medellín,2818700
05002,Abejorral,23201
05004,Abriaquí,3076
05021,Alejandría,5571
05030,Amagá,35915
05031,Amalfi,31644
05034,Andes,49877
05036,Angelópolis,6771
05038,Angostura,13710
05040,Anorí,22719
05042,Santafé de Antioquia,31061
05044,Anzá,8392
05045,Apartadó,141584
05051,Arboletes,34724
05055,Argelia,8961
05059,Armenia,5792
05079,Barbosa,67379
05086,Belmira,6968
05088,Bello,647245
05091,Betania,11987
05093,Betulia,18629
05101,Ciudad Bolívar,30278
05107,Briceño,9114
05113,Buriticá,11762
05120,Cáceres,33056
05125,Caicedo,10049
05129,Caldas,96711
05134,Campamento,10980
05138,Cañasgordas,17595
05142,Caracolí,5027
05145,Caramanta,5113
05147,Carepa,57141
05148,El Carmen de Viboral,74509
05150,Carolina,4373
05154,Caucasia,106015
05172,Chigorodó,65735
05190,Cisneros,11139
05197,Cocorná,17860
05206,Concepción,5549
05209,Concordia,24750
05212,Copacabana,96900
05234,Dabeiba,27535
05237,Don Matías,22232
05240,Ebéjico,13750
05250,El Bagre,62600
05264,Entrerrios,13704
05266,Envigado,277029
05282,Fredonia,28433
05284,Frontino,24247
05306,Giraldo,6859
05308,Girardota,65743
05310,Gómez Plata,11216
05313,Granada,11619
05315,Guadalupe,7753
05318,Guarne,68927
05321,Guatapé,10283
05347,Heliconia,5770
05353,Hispania,6403
05360,Itagüí,331571
05361,Ituango,31730
05364,Jardín,16771
05368,Jericó,15636
05376,La Ceja,78665
05380,La Estrella,88597
05390,La Pintada,9582
05400,La Unión,26073
05411,Liborina,11723
05425,Maceo,9665
05440,Marinilla,79932
05467,Montebello,7318
05475,Murindó,6257
05480,Mutatá,15935
05483,Nariño,11956
05490,Necoclí,48991
05495,Nechí,31836
05501,Olaya,3707
05541,Peñol,25533
05543,Peque,9575
05576,Pueblorrico,9977
05579,Puerto Berrío,44229
05585,Puerto Nare,16846
05591,Puerto Triunfo,21837
05604,Remedios,35539
05607,Retiro,28648
05615,Rionegro,165008
